day,count,pct
222,3,10.0
202,2,6.666666666666667
213,2,6.666666666666667
217,2,6.666666666666667
218,2,6.666666666666667
231,2,6.666666666666667
233,2,6.666666666666667
201,1,3.3333333333333335
204,1,3.3333333333333335
205,1,3.3333333333333335
207,1,3.3333333333333335
211,1,3.3333333333333335
214,1,3.3333333333333335
216,1,3.3333333333333335
219,1,3.3333333333333335
220,1,3.3333333333333335
221,1,3.3333333333333335
225,1,3.3333333333333335
227,1,3.3333333333333335
229,1,3.3333333333333335
230,1,3.3333333333333335
239,1,3.3333333333333335
