kpi,label,n,min,max,mean,std,se,ci95_low,ci95_high
sessions,Sesiones realizadas,30,1422.0,1670.0,1568.5,66.02389849451329,12.054259513292102,1543.8490392953177,1593.1509607046823
unique_patients,Pacientes unicos,30,556.0,623.0,590.3666666666667,18.23691469167042,3.329589851975087,583.5576554193776,597.1756779139557
cumplimiento,Cumplimiento horario regular (%),30,81.88976377952756,93.95218002812939,88.08360571507977,3.1763819402206583,0.5799253466369602,86.89765838120718,89.26955304895236
total_extra,Modulos extra totales,30,205.0,980.0,551.3666666666667,213.6063868561685,38.99901216943284,471.6136867801765,631.1196465531568
days_extra,Dias con extra,30,17.0,36.0,27.633333333333333,5.442383690064957,0.9936387712155937,25.601342046197445,29.66532462046922
max_wait,Espera maxima (mod),30,37.0,41.0,39.333333333333336,1.124441112772009,0.20529392068381325,38.91350726553494,39.75315940113173
avg_wait,Espera promedio (mod),30,15.046413502109704,17.53683574879227,16.56183001391052,0.7077211479006905,0.12921161237621936,16.29759226660115,16.82606776121989
util_chairs,Utilizacion sillas total (%),30,65.07839721254356,76.01335656213705,71.6050135501355,2.9364058211856876,0.536111902084294,70.50866471037311,72.70136238989788
util_chairs_reg,Utilizacion sillas regulares (%),30,75.23035230352303,85.74525745257453,81.67140921409214,2.7860842752389643,0.5086670682196042,80.63118505958305,82.71163336860123
util_nurses,Ocupacion enfermeria (%),30,30.96689895470383,36.36759581881533,34.1572299651568,1.4378026675634425,0.26250565142186627,33.620405907999086,34.69405402231452
util_pharm,Ocupacion farmacia (%),30,76.22919086333721,87.23706284681894,82.48892330193142,2.9470948346659243,0.5380634400178282,81.38858356709497,83.58926303676787
postponed_sessions,Sesiones postponadas,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unattended,Pacientes no atendidos,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
