day,kpi,label,n,min,max,mean,std,se,ci95_low,ci95_high
200,daily_sessions,Sesiones por dia,30,28.0,45.0,37.7,4.3083719622982,0.7865975032911738,36.09140810576955,39.30859189423045
200,daily_unique_patients,Pacientes unicos por dia,30,28.0,45.0,37.7,4.3083719622982,0.7865975032911738,36.09140810576955,39.30859189423045
200,daily_treatment_modules,Modulos tratamiento por dia,30,462.0,712.0,594.4666666666667,71.35087334039285,13.026827608742382,567.8268042067886,621.1065291265448
200,daily_extra_modules,Modulos extra por dia,30,0.0,63.0,13.2,16.826497986294076,3.0720841703028396,6.917587871730692,19.482412128269306
200,daily_avg_wait,Espera promedio diaria (mod),30,11.785714285714286,19.547619047619047,16.216165507599513,2.2450083651333896,0.40988057445711734,15.377959732834707,17.05437128236432
200,daily_max_wait,Espera maxima diaria (mod),30,22.0,38.0,33.8,4.3023650272363225,0.7855007920128874,32.19365088033364,35.40634911966635
200,daily_peak_chairs,Peak sillas,30,15.0,15.0,15.0,0.0,0.0,15.0,15.0
200,daily_peak_nurses,Peak enfermeria,30,4.0,4.0,4.0,0.0,0.0,4.0,4.0
200,daily_peak_pharmacy,Peak farmacia,30,9.0,9.0,9.0,0.0,0.0,9.0,9.0
201,daily_sessions,Sesiones por dia,30,26.0,45.0,38.6,4.986879336543184,0.9104754347270329,36.73807773598322,40.461922264016785
201,daily_unique_patients,Pacientes unicos por dia,30,26.0,45.0,38.6,4.986879336543184,0.9104754347270329,36.73807773598322,40.461922264016785
201,daily_treatment_modules,Modulos tratamiento por dia,30,381.0,709.0,609.4333333333333,80.63356165002149,14.721606869233417,579.3276472857509,639.5390193809156
201,daily_extra_modules,Modulos extra por dia,30,0.0,60.0,17.166666666666668,18.01930637674077,3.289860191045867,10.43890257597787,23.894430757355465
201,daily_avg_wait,Espera promedio diaria (mod),30,10.038461538461538,19.42222222222222,16.560176244091142,2.3741468946517976,0.4334579363438769,15.673754764267914,17.44659772391437
201,daily_max_wait,Espera maxima diaria (mod),30,20.0,39.0,34.0,4.94800551946839,0.9033780792243016,32.152591827986306,35.847408172013694
201,daily_peak_chairs,Peak sillas,30,15.0,15.0,15.0,0.0,0.0,15.0,15.0
