dia,ocupacion_modulos,capacidad_ordinaria_K,capacidad_extra_K_ext,capacidad_total,modulos_extra_usados,holgura_yt,n_sesiones,pct_ocupacion,pct_ocupacion_total
1,78.0,720,120,840,0.0,0.0,5,10.8,9.3
2,30.0,720,120,840,0.0,0.0,2,4.2,3.6
3,70.0,720,120,840,0.0,0.0,5,9.7,8.3
4,103.0,720,120,840,0.0,0.0,7,14.3,12.3
5,53.0,720,120,840,0.0,0.0,4,7.4,6.3
6,54.0,720,120,840,0.0,0.0,3,7.5,6.4
7,45.0,720,120,840,0.0,0.0,3,6.2,5.4
8,96.0,720,120,840,0.0,0.0,6,13.3,11.4
9,80.0,720,120,840,0.0,0.0,4,11.1,9.5
10,104.0,720,120,840,0.0,0.0,7,14.4,12.4
11,16.0,720,120,840,0.0,0.0,1,2.2,1.9
12,78.0,720,120,840,0.0,0.0,5,10.8,9.3
13,76.0,720,120,840,0.0,0.0,5,10.6,9.0
14,34.0,720,120,840,0.0,0.0,2,4.7,4.0
15,112.0,720,120,840,0.0,0.0,7,15.6,13.3
16,44.0,720,120,840,0.0,0.0,3,6.1,5.2
17,124.0,720,120,840,0.0,0.0,8,17.2,14.8
18,63.0,720,120,840,0.0,0.0,4,8.8,7.5
19,52.0,720,120,840,0.0,0.0,3,7.2,6.2
20,52.0,720,120,840,0.0,0.0,3,7.2,6.2
21,128.0,720,120,840,0.0,0.0,8,17.8,15.2
22,107.0,720,120,840,0.0,0.0,7,14.9,12.7
23,106.0,720,120,840,0.0,0.0,7,14.7,12.6
24,184.0,720,120,840,0.0,0.0,12,25.6,21.9
25,149.0,720,120,840,0.0,0.0,10,20.7,17.7
26,240.0,720,120,840,0.0,0.0,16,33.3,28.6
27,172.0,720,120,840,0.0,0.0,10,23.9,20.5
28,65.0,720,120,840,0.0,0.0,4,9.0,7.7
29,192.0,720,120,840,0.0,0.0,12,26.7,22.9
30,156.0,720,120,840,0.0,0.0,9,21.7,18.6
31,173.0,720,120,840,0.0,0.0,12,24.0,20.6
32,112.0,720,120,840,0.0,0.0,7,15.6,13.3
33,92.0,720,120,840,0.0,0.0,6,12.8,11.0
34,92.0,720,120,840,0.0,0.0,6,12.8,11.0
35,203.0,720,120,840,0.0,0.0,13,28.2,24.2
36,102.0,720,120,840,0.0,0.0,7,14.2,12.1
37,129.0,720,120,840,0.0,0.0,8,17.9,15.4
38,221.0,720,120,840,0.0,0.0,13,30.7,26.3
39,47.0,720,120,840,0.0,0.0,3,6.5,5.6
40,163.0,720,120,840,0.0,0.0,10,22.6,19.4
41,159.0,720,120,840,0.0,0.0,10,22.1,18.9
42,111.0,720,120,840,0.0,0.0,7,15.4,13.2
43,285.0,720,120,840,0.0,0.0,18,39.6,33.9
44,241.0,720,120,840,0.0,0.0,15,33.5,28.7
45,349.0,720,120,840,0.0,0.0,22,48.5,41.5
46,214.0,720,120,840,0.0,0.0,14,29.7,25.5
47,286.0,720,120,840,0.0,0.0,19,39.7,34.0
48,203.0,720,120,840,0.0,0.0,12,28.2,24.2
49,260.0,720,120,840,0.0,0.0,16,36.1,31.0
50,290.0,720,120,840,0.0,0.0,18,40.3,34.5
51,226.0,720,120,840,0.0,0.0,13,31.4,26.9
52,272.0,720,120,840,0.0,0.0,18,37.8,32.4
53,121.0,720,120,840,0.0,0.0,7,16.8,14.4
54,197.0,720,120,840,0.0,0.0,12,27.4,23.5
55,233.0,720,120,840,0.0,0.0,15,32.4,27.7
56,233.0,720,120,840,0.0,0.0,15,32.4,27.7
57,275.0,720,120,840,0.0,0.0,17,38.2,32.7
58,193.0,720,120,840,0.0,0.0,12,26.8,23.0
59,380.0,720,120,840,0.0,0.0,23,52.8,45.2
60,165.0,720,120,840,0.0,0.0,11,22.9,19.6
61,210.0,720,120,840,0.0,0.0,13,29.2,25.0
62,215.0,720,120,840,0.0,0.0,13,29.9,25.6
63,236.0,720,120,840,0.0,0.0,15,32.8,28.1
64,333.0,720,120,840,0.0,0.0,21,46.2,39.6
65,286.0,720,120,840,0.0,0.0,18,39.7,34.0
66,400.0,720,120,840,0.0,0.0,26,55.6,47.6
67,284.0,720,120,840,0.0,0.0,18,39.4,33.8
68,396.0,720,120,840,0.0,0.0,26,55.0,47.1
69,406.0,720,120,840,0.0,0.0,25,56.4,48.3
70,337.0,720,120,840,0.0,0.0,21,46.8,40.1
71,423.0,720,120,840,0.0,0.0,27,58.8,50.4
72,438.0,720,120,840,0.0,0.0,27,60.8,52.1
73,482.0,720,120,840,0.0,0.0,32,66.9,57.4
74,298.0,720,120,840,0.0,0.0,19,41.4,35.5
75,258.0,720,120,840,0.0,0.0,16,35.8,30.7
76,216.0,720,120,840,0.0,0.0,14,30.0,25.7
77,313.0,720,120,840,0.0,0.0,20,43.5,37.3
78,315.0,720,120,840,0.0,0.0,20,43.8,37.5
79,218.0,720,120,840,0.0,0.0,13,30.3,26.0
80,331.0,720,120,840,0.0,0.0,20,46.0,39.4
81,232.0,720,120,840,0.0,0.0,15,32.2,27.6
82,328.0,720,120,840,0.0,0.0,21,45.6,39.0
83,419.0,720,120,840,0.0,0.0,26,58.2,49.9
84,357.0,720,120,840,0.0,0.0,23,49.6,42.5
85,486.0,720,120,840,0.0,0.0,31,67.5,57.9
86,367.0,720,120,840,0.0,0.0,23,51.0,43.7
87,540.0,720,120,840,0.0,0.0,34,75.0,64.3
88,450.0,720,120,840,0.0,0.0,29,62.5,53.6
89,349.0,720,120,840,0.0,0.0,23,48.5,41.5
90,371.0,720,120,840,0.0,0.0,23,51.5,44.2
91,384.0,720,120,840,0.0,0.0,24,53.3,45.7
92,489.0,720,120,840,0.0,0.0,31,67.9,58.2
93,497.0,720,120,840,0.0,0.0,31,69.0,59.2
94,478.0,720,120,840,0.0,0.0,31,66.4,56.9
95,301.0,720,120,840,0.0,0.0,19,41.8,35.8
96,480.0,720,120,840,0.0,0.0,28,66.7,57.1
97,435.0,720,120,840,0.0,0.0,27,60.4,51.8
98,469.0,720,120,840,0.0,0.0,30,65.1,55.8
99,417.0,720,120,840,0.0,0.0,26,57.9,49.6
100,358.0,720,120,840,0.0,0.0,21,49.7,42.6
101,544.0,720,120,840,0.0,0.0,33,75.6,64.8
102,425.0,720,120,840,0.0,0.0,28,59.0,50.6
103,343.0,720,120,840,0.0,0.0,23,47.6,40.8
104,327.0,720,120,840,0.0,0.0,20,45.4,38.9
105,389.0,720,120,840,0.0,0.0,25,54.0,46.3
106,472.0,720,120,840,0.0,0.0,31,65.6,56.2
107,426.0,720,120,840,0.0,0.0,27,59.2,50.7
108,491.0,720,120,840,0.0,0.0,31,68.2,58.5
109,369.0,720,120,840,0.0,0.0,23,51.2,43.9
110,511.0,720,120,840,0.0,0.0,33,71.0,60.8
111,629.0,720,120,840,0.0,0.0,39,87.4,74.9
112,527.0,720,120,840,0.0,0.0,34,73.2,62.7
113,615.0,720,120,840,0.0,0.0,38,85.4,73.2
114,563.0,720,120,840,0.0,0.0,34,78.2,67.0
