dia,ocupacion_modulos,capacidad_ordinaria_K,capacidad_extra_K_ext,capacidad_total,modulos_extra_usados,holgura_yt,n_sesiones,pct_ocupacion,pct_ocupacion_total
1,0.0,720,120,840,0.0,0.0,0,0.0,0.0
2,54.0,720,120,840,0.0,0.0,4,7.5,6.4
3,112.0,720,120,840,0.0,0.0,7,15.6,13.3
4,54.0,720,120,840,0.0,0.0,4,7.5,6.4
5,78.0,720,120,840,0.0,0.0,5,10.8,9.3
6,47.0,720,120,840,0.0,0.0,3,6.5,5.6
7,115.0,720,120,840,0.0,0.0,7,16.0,13.7
8,87.0,720,120,840,0.0,0.0,5,12.1,10.4
9,172.0,720,120,840,0.0,0.0,11,23.9,20.5
10,29.0,720,120,840,0.0,0.0,2,4.0,3.5
11,31.0,720,120,840,0.0,0.0,2,4.3,3.7
12,89.0,720,120,840,0.0,0.0,6,12.4,10.6
13,160.0,720,120,840,0.0,0.0,11,22.2,19.0
14,45.0,720,120,840,0.0,0.0,3,6.2,5.4
15,64.0,720,120,840,0.0,0.0,4,8.9,7.6
16,99.0,720,120,840,0.0,0.0,6,13.8,11.8
17,159.0,720,120,840,0.0,0.0,10,22.1,18.9
18,150.0,720,120,840,0.0,0.0,10,20.8,17.9
19,126.0,720,120,840,0.0,0.0,8,17.5,15.0
20,115.0,720,120,840,0.0,0.0,7,16.0,13.7
21,87.0,720,120,840,0.0,0.0,6,12.1,10.4
22,130.0,720,120,840,0.0,0.0,9,18.1,15.5
23,206.0,720,120,840,0.0,0.0,14,28.6,24.5
24,81.0,720,120,840,0.0,0.0,5,11.2,9.6
25,115.0,720,120,840,0.0,0.0,7,16.0,13.7
26,119.0,720,120,840,0.0,0.0,8,16.5,14.2
27,222.0,720,120,840,0.0,0.0,14,30.8,26.4
28,161.0,720,120,840,0.0,0.0,10,22.4,19.2
29,176.0,720,120,840,0.0,0.0,10,24.4,21.0
30,139.0,720,120,840,0.0,0.0,9,19.3,16.5
31,215.0,720,120,840,0.0,0.0,14,29.9,25.6
32,119.0,720,120,840,0.0,0.0,8,16.5,14.2
33,216.0,720,120,840,0.0,0.0,14,30.0,25.7
34,237.0,720,120,840,0.0,0.0,15,32.9,28.2
35,161.0,720,120,840,0.0,0.0,11,22.4,19.2
36,133.0,720,120,840,0.0,0.0,9,18.5,15.8
37,189.0,720,120,840,0.0,0.0,12,26.2,22.5
38,87.0,720,120,840,0.0,0.0,6,12.1,10.4
39,176.0,720,120,840,0.0,0.0,11,24.4,21.0
40,163.0,720,120,840,0.0,0.0,11,22.6,19.4
41,287.0,720,120,840,0.0,0.0,18,39.9,34.2
42,190.0,720,120,840,0.0,0.0,12,26.4,22.6
43,256.0,720,120,840,0.0,0.0,16,35.6,30.5
44,208.0,720,120,840,0.0,0.0,14,28.9,24.8
45,279.0,720,120,840,0.0,0.0,18,38.8,33.2
46,219.0,720,120,840,0.0,0.0,14,30.4,26.1
47,251.0,720,120,840,0.0,0.0,16,34.9,29.9
48,259.0,720,120,840,0.0,0.0,16,36.0,30.8
49,258.0,720,120,840,0.0,0.0,17,35.8,30.7
50,280.0,720,120,840,0.0,0.0,16,38.9,33.3
51,290.0,720,120,840,0.0,0.0,19,40.3,34.5
52,106.0,720,120,840,0.0,0.0,7,14.7,12.6
53,137.0,720,120,840,0.0,0.0,9,19.0,16.3
54,233.0,720,120,840,0.0,0.0,15,32.4,27.7
55,360.0,720,120,840,0.0,0.0,23,50.0,42.9
56,238.0,720,120,840,0.0,0.0,15,33.1,28.3
57,209.0,720,120,840,0.0,0.0,14,29.0,24.9
58,227.0,720,120,840,0.0,0.0,14,31.5,27.0
59,342.0,720,120,840,0.0,0.0,23,47.5,40.7
60,375.0,720,120,840,0.0,0.0,24,52.1,44.6
61,380.0,720,120,840,0.0,0.0,23,52.8,45.2
62,291.0,720,120,840,0.0,0.0,18,40.4,34.6
63,286.0,720,120,840,0.0,0.0,19,39.7,34.0
64,349.0,720,120,840,0.0,0.0,22,48.5,41.5
65,389.0,720,120,840,0.0,0.0,26,54.0,46.3
66,218.0,720,120,840,0.0,0.0,14,30.3,26.0
67,238.0,720,120,840,0.0,0.0,15,33.1,28.3
68,256.0,720,120,840,0.0,0.0,16,35.6,30.5
69,454.0,720,120,840,0.0,0.0,29,63.1,54.0
70,340.0,720,120,840,0.0,0.0,22,47.2,40.5
71,312.0,720,120,840,0.0,0.0,18,43.3,37.1
72,358.0,720,120,840,0.0,0.0,23,49.7,42.6
73,294.0,720,120,840,0.0,0.0,20,40.8,35.0
74,411.0,720,120,840,0.0,0.0,26,57.1,48.9
75,383.0,720,120,840,0.0,0.0,24,53.2,45.6
76,350.0,720,120,840,0.0,0.0,22,48.6,41.7
77,375.0,720,120,840,0.0,0.0,24,52.1,44.6
78,321.0,720,120,840,0.0,0.0,21,44.6,38.2
79,310.0,720,120,840,0.0,0.0,19,43.1,36.9
80,338.0,720,120,840,0.0,0.0,21,46.9,40.2
81,367.0,720,120,840,0.0,0.0,23,51.0,43.7
82,322.0,720,120,840,0.0,0.0,20,44.7,38.3
83,429.0,720,120,840,0.0,0.0,27,59.6,51.1
84,342.0,720,120,840,0.0,0.0,22,47.5,40.7
85,377.0,720,120,840,0.0,0.0,24,52.4,44.9
86,447.0,720,120,840,0.0,0.0,30,62.1,53.2
87,445.0,720,120,840,0.0,0.0,29,61.8,53.0
88,457.0,720,120,840,0.0,0.0,29,63.5,54.4
89,437.0,720,120,840,0.0,0.0,27,60.7,52.0
90,466.0,720,120,840,0.0,0.0,30,64.7,55.5
91,395.0,720,120,840,0.0,0.0,26,54.9,47.0
92,503.0,720,120,840,0.0,0.0,30,69.9,59.9
93,461.0,720,120,840,0.0,0.0,30,64.0,54.9
94,329.0,720,120,840,0.0,0.0,22,45.7,39.2
95,304.0,720,120,840,0.0,0.0,19,42.2,36.2
96,266.0,720,120,840,0.0,0.0,17,36.9,31.7
97,487.0,720,120,840,0.0,0.0,31,67.6,58.0
98,398.0,720,120,840,0.0,0.0,24,55.3,47.4
99,303.0,720,120,840,0.0,0.0,21,42.1,36.1
100,388.0,720,120,840,0.0,0.0,24,53.9,46.2
101,534.0,720,120,840,0.0,0.0,34,74.2,63.6
102,616.0,720,120,840,0.0,0.0,39,85.6,73.3
103,589.0,720,120,840,0.0,0.0,36,81.8,70.1
104,429.0,720,120,840,0.0,0.0,27,59.6,51.1
105,482.0,720,120,840,0.0,0.0,31,66.9,57.4
106,584.0,720,120,840,0.0,0.0,37,81.1,69.5
107,561.0,720,120,840,0.0,0.0,37,77.9,66.8
108,407.0,720,120,840,0.0,0.0,26,56.5,48.5
109,378.0,720,120,840,0.0,0.0,24,52.5,45.0
110,350.0,720,120,840,0.0,0.0,23,48.6,41.7
111,532.0,720,120,840,0.0,0.0,34,73.9,63.3
112,362.0,720,120,840,0.0,0.0,23,50.3,43.1
113,465.0,720,120,840,0.0,0.0,28,64.6,55.4
114,504.0,720,120,840,0.0,0.0,33,70.0,60.0
115,521.0,720,120,840,0.0,0.0,35,72.4,62.0
116,605.0,720,120,840,0.0,0.0,39,84.0,72.0
117,545.0,720,120,840,0.0,0.0,34,75.7,64.9
118,640.0,720,120,840,0.0,0.0,39,88.9,76.2
119,604.0,720,120,840,0.0,0.0,37,83.9,71.9
120,538.0,720,120,840,0.0,0.0,35,74.7,64.0
121,473.0,720,120,840,0.0,0.0,29,65.7,56.3
122,496.0,720,120,840,0.0,0.0,31,68.9,59.0
123,529.0,720,120,840,0.0,0.0,33,73.5,63.0
124,453.0,720,120,840,0.0,0.0,28,62.9,53.9
125,495.0,720,120,840,0.0,0.0,31,68.8,58.9
126,629.0,720,120,840,0.0,0.0,39,87.4,74.9
127,524.0,720,120,840,0.0,0.0,33,72.8,62.4
128,574.0,720,120,840,0.0,0.0,38,79.7,68.3
129,605.0,720,120,840,0.0,0.0,39,84.0,72.0
130,655.0,720,120,840,0.0,0.0,42,91.0,78.0
131,577.0,720,120,840,0.0,0.0,37,80.1,68.7
132,593.0,720,120,840,0.0,0.0,38,82.4,70.6
133,488.0,720,120,840,0.0,0.0,32,67.8,58.1
134,707.0,720,120,840,0.0,0.0,43,98.2,84.2
135,498.0,720,120,840,0.0,0.0,32,69.2,59.3
136,375.0,720,120,840,0.0,0.0,25,52.1,44.6
137,461.0,720,120,840,0.0,0.0,30,64.0,54.9
138,516.0,720,120,840,0.0,0.0,33,71.7,61.4
139,687.0,720,120,840,0.0,0.0,41,95.4,81.8
140,679.0,720,120,840,0.0,0.0,41,94.3,80.8
141,432.0,720,120,840,0.0,0.0,29,60.0,51.4
142,568.0,720,120,840,0.0,0.0,36,78.9,67.6
143,703.0,720,120,840,0.0,0.0,44,97.6,83.7
144,678.0,720,120,840,0.0,0.0,43,94.2,80.7
145,622.0,720,120,840,0.0,0.0,38,86.4,74.0
146,585.0,720,120,840,0.0,0.0,38,81.2,69.6
147,710.0,720,120,840,0.0,0.0,44,98.6,84.5
148,715.0,720,120,840,0.0,0.0,44,99.3,85.1
149,654.0,720,120,840,0.0,0.0,43,90.8,77.9
150,501.0,720,120,840,0.0,0.0,32,69.6,59.6
151,479.0,720,120,840,0.0,0.0,32,66.5,57.0
152,621.0,720,120,840,0.0,0.0,40,86.2,73.9
153,614.0,720,120,840,0.0,0.0,38,85.3,73.1
154,516.0,720,120,840,0.0,0.0,34,71.7,61.4
155,588.0,720,120,840,0.0,0.0,37,81.7,70.0
156,591.0,720,120,840,0.0,0.0,38,82.1,70.4
157,613.0,720,120,840,0.0,0.0,40,85.1,73.0
158,681.0,720,120,840,0.0,0.0,44,94.6,81.1
159,559.0,720,120,840,0.0,0.0,35,77.6,66.5
160,670.0,720,120,840,0.0,0.0,42,93.1,79.8
161,717.0,720,120,840,0.0,0.0,42,99.6,85.4
162,590.0,720,120,840,0.0,0.0,37,81.9,70.2
163,592.0,720,120,840,0.0,0.0,37,82.2,70.5
164,550.0,720,120,840,0.0,0.0,35,76.4,65.5
165,491.0,720,120,840,0.0,0.0,32,68.2,58.5
166,620.0,720,120,840,0.0,0.0,39,86.1,73.8
167,596.0,720,120,840,0.0,0.0,37,82.8,71.0
168,700.0,720,120,840,0.0,0.0,44,97.2,83.3
169,586.0,720,120,840,0.0,0.0,38,81.4,69.8
170,647.0,720,120,840,0.0,0.0,43,89.9,77.0
171,718.0,720,120,840,0.0,0.0,46,99.7,85.5
172,713.0,720,120,840,0.0,0.0,48,99.0,84.9
173,681.0,720,120,840,0.0,0.0,42,94.6,81.1
174,632.0,720,120,840,0.0,0.0,40,87.8,75.2
175,538.0,720,120,840,0.0,0.0,34,74.7,64.0
