dia,ocupacion_modulos,capacidad_ordinaria_K,capacidad_extra_K_ext,capacidad_total,modulos_extra_usados,holgura_yt,n_sesiones,pct_ocupacion,pct_ocupacion_total
1,32.0,720,120,840,0.0,0.0,2,4.4,3.8
2,42.0,720,120,840,0.0,0.0,3,5.8,5.0
3,80.0,720,120,840,0.0,0.0,4,11.1,9.5
4,16.0,720,120,840,0.0,0.0,1,2.2,1.9
5,64.0,720,120,840,0.0,0.0,4,8.9,7.6
6,95.0,720,120,840,0.0,0.0,6,13.2,11.3
7,95.0,720,120,840,0.0,0.0,7,13.2,11.3
8,102.0,720,120,840,0.0,0.0,7,14.2,12.1
9,112.0,720,120,840,0.0,0.0,6,15.6,13.3
10,78.0,720,120,840,0.0,0.0,5,10.8,9.3
11,31.0,720,120,840,0.0,0.0,2,4.3,3.7
12,55.0,720,120,840,0.0,0.0,4,7.6,6.5
13,24.0,720,120,840,0.0,0.0,2,3.3,2.9
14,122.0,720,120,840,0.0,0.0,7,16.9,14.5
15,103.0,720,120,840,0.0,0.0,6,14.3,12.3
16,104.0,720,120,840,0.0,0.0,7,14.4,12.4
17,122.0,720,120,840,0.0,0.0,8,16.9,14.5
18,131.0,720,120,840,0.0,0.0,8,18.2,15.6
19,109.0,720,120,840,0.0,0.0,7,15.1,13.0
20,123.0,720,120,840,0.0,0.0,8,17.1,14.6
21,183.0,720,120,840,0.0,0.0,11,25.4,21.8
22,153.0,720,120,840,0.0,0.0,9,21.2,18.2
23,80.0,720,120,840,0.0,0.0,5,11.1,9.5
24,158.0,720,120,840,0.0,0.0,9,21.9,18.8
25,69.0,720,120,840,0.0,0.0,5,9.6,8.2
26,112.0,720,120,840,0.0,0.0,8,15.6,13.3
27,166.0,720,120,840,0.0,0.0,11,23.1,19.8
28,109.0,720,120,840,0.0,0.0,8,15.1,13.0
29,108.0,720,120,840,0.0,0.0,7,15.0,12.9
30,205.0,720,120,840,0.0,0.0,12,28.5,24.4
31,108.0,720,120,840,0.0,0.0,7,15.0,12.9
32,127.0,720,120,840,0.0,0.0,8,17.6,15.1
33,189.0,720,120,840,0.0,0.0,12,26.2,22.5
34,128.0,720,120,840,0.0,0.0,8,17.8,15.2
35,267.0,720,120,840,0.0,0.0,16,37.1,31.8
36,198.0,720,120,840,0.0,0.0,13,27.5,23.6
37,202.0,720,120,840,0.0,0.0,13,28.1,24.0
38,218.0,720,120,840,0.0,0.0,14,30.3,26.0
39,212.0,720,120,840,0.0,0.0,14,29.4,25.2
40,244.0,720,120,840,0.0,0.0,15,33.9,29.0
41,237.0,720,120,840,0.0,0.0,16,32.9,28.2
42,236.0,720,120,840,0.0,0.0,15,32.8,28.1
43,174.0,720,120,840,0.0,0.0,10,24.2,20.7
44,153.0,720,120,840,0.0,0.0,10,21.2,18.2
45,203.0,720,120,840,0.0,0.0,12,28.2,24.2
46,169.0,720,120,840,0.0,0.0,11,23.5,20.1
47,185.0,720,120,840,0.0,0.0,12,25.7,22.0
48,239.0,720,120,840,0.0,0.0,15,33.2,28.5
49,233.0,720,120,840,0.0,0.0,16,32.4,27.7
50,214.0,720,120,840,0.0,0.0,14,29.7,25.5
51,366.0,720,120,840,0.0,0.0,22,50.8,43.6
52,251.0,720,120,840,0.0,0.0,16,34.9,29.9
53,256.0,720,120,840,0.0,0.0,17,35.6,30.5
54,335.0,720,120,840,0.0,0.0,21,46.5,39.9
55,281.0,720,120,840,0.0,0.0,19,39.0,33.5
56,315.0,720,120,840,0.0,0.0,18,43.8,37.5
57,244.0,720,120,840,0.0,0.0,15,33.9,29.0
58,228.0,720,120,840,0.0,0.0,15,31.7,27.1
59,228.0,720,120,840,0.0,0.0,15,31.7,27.1
60,224.0,720,120,840,0.0,0.0,14,31.1,26.7
61,343.0,720,120,840,0.0,0.0,22,47.6,40.8
62,368.0,720,120,840,0.0,0.0,24,51.1,43.8
63,345.0,720,120,840,0.0,0.0,22,47.9,41.1
64,308.0,720,120,840,0.0,0.0,19,42.8,36.7
65,293.0,720,120,840,0.0,0.0,19,40.7,34.9
66,394.0,720,120,840,0.0,0.0,23,54.7,46.9
67,298.0,720,120,840,0.0,0.0,20,41.4,35.5
68,299.0,720,120,840,0.0,0.0,19,41.5,35.6
69,343.0,720,120,840,0.0,0.0,22,47.6,40.8
70,232.0,720,120,840,0.0,0.0,16,32.2,27.6
71,282.0,720,120,840,0.0,0.0,17,39.2,33.6
72,328.0,720,120,840,0.0,0.0,20,45.6,39.0
73,229.0,720,120,840,0.0,0.0,15,31.8,27.3
74,275.0,720,120,840,0.0,0.0,17,38.2,32.7
75,366.0,720,120,840,0.0,0.0,23,50.8,43.6
76,348.0,720,120,840,0.0,0.0,23,48.3,41.4
77,402.0,720,120,840,0.0,0.0,23,55.8,47.9
78,332.0,720,120,840,0.0,0.0,21,46.1,39.5
79,372.0,720,120,840,0.0,0.0,24,51.7,44.3
80,334.0,720,120,840,0.0,0.0,21,46.4,39.8
81,344.0,720,120,840,0.0,0.0,22,47.8,41.0
82,420.0,720,120,840,0.0,0.0,27,58.3,50.0
83,410.0,720,120,840,0.0,0.0,27,56.9,48.8
84,464.0,720,120,840,0.0,0.0,29,64.4,55.2
85,345.0,720,120,840,0.0,0.0,21,47.9,41.1
86,253.0,720,120,840,0.0,0.0,17,35.1,30.1
87,416.0,720,120,840,0.0,0.0,25,57.8,49.5
88,363.0,720,120,840,0.0,0.0,23,50.4,43.2
89,346.0,720,120,840,0.0,0.0,22,48.1,41.2
90,395.0,720,120,840,0.0,0.0,25,54.9,47.0
91,305.0,720,120,840,0.0,0.0,21,42.4,36.3
92,442.0,720,120,840,0.0,0.0,28,61.4,52.6
93,503.0,720,120,840,0.0,0.0,31,69.9,59.9
94,323.0,720,120,840,0.0,0.0,20,44.9,38.5
95,391.0,720,120,840,0.0,0.0,25,54.3,46.5
96,461.0,720,120,840,0.0,0.0,29,64.0,54.9
97,394.0,720,120,840,0.0,0.0,26,54.7,46.9
98,589.0,720,120,840,0.0,0.0,36,81.8,70.1
99,403.0,720,120,840,0.0,0.0,25,56.0,48.0
100,326.0,720,120,840,0.0,0.0,22,45.3,38.8
101,387.0,720,120,840,0.0,0.0,24,53.8,46.1
102,346.0,720,120,840,0.0,0.0,22,48.1,41.2
103,499.0,720,120,840,0.0,0.0,32,69.3,59.4
104,484.0,720,120,840,0.0,0.0,31,67.2,57.6
105,518.0,720,120,840,0.0,0.0,33,71.9,61.7
106,451.0,720,120,840,0.0,0.0,28,62.6,53.7
107,393.0,720,120,840,0.0,0.0,26,54.6,46.8
