dia,ocupacion_modulos,capacidad_ordinaria_K,capacidad_extra_K_ext,capacidad_total,modulos_extra_usados,holgura_yt,n_sesiones,pct_ocupacion,pct_ocupacion_total
1,48.0,720,120,840,0.0,0.0,3,6.7,5.7
2,75.0,720,120,840,0.0,0.0,4,10.4,8.9
3,109.0,720,120,840,0.0,0.0,7,15.1,13.0
4,102.0,720,120,840,0.0,0.0,6,14.2,12.1
5,70.0,720,120,840,0.0,0.0,5,9.7,8.3
6,101.0,720,120,840,0.0,0.0,6,14.0,12.0
7,128.0,720,120,840,0.0,0.0,8,17.8,15.2
8,145.0,720,120,840,0.0,0.0,8,20.1,17.3
9,70.0,720,120,840,0.0,0.0,4,9.7,8.3
10,81.0,720,120,840,0.0,0.0,4,11.2,9.6
11,82.0,720,120,840,0.0,0.0,6,11.4,9.8
12,25.0,720,120,840,0.0,0.0,1,3.5,3.0
13,29.0,720,120,840,0.0,0.0,2,4.0,3.5
14,40.0,720,120,840,0.0,0.0,3,5.6,4.8
15,150.0,720,120,840,0.0,0.0,10,20.8,17.9
16,58.0,720,120,840,0.0,0.0,4,8.1,6.9
17,141.0,720,120,840,0.0,0.0,10,19.6,16.8
18,96.0,720,120,840,0.0,0.0,7,13.3,11.4
19,70.0,720,120,840,0.0,0.0,5,9.7,8.3
20,183.0,720,120,840,0.0,0.0,11,25.4,21.8
21,50.0,720,120,840,0.0,0.0,3,6.9,6.0
22,32.0,720,120,840,0.0,0.0,2,4.4,3.8
23,136.0,720,120,840,0.0,0.0,8,18.9,16.2
24,155.0,720,120,840,0.0,0.0,10,21.5,18.5
25,194.0,720,120,840,0.0,0.0,13,26.9,23.1
26,101.0,720,120,840,0.0,0.0,7,14.0,12.0
27,170.0,720,120,840,0.0,0.0,11,23.6,20.2
28,236.0,720,120,840,0.0,0.0,15,32.8,28.1
29,372.0,720,120,840,0.0,0.0,24,51.7,44.3
30,160.0,720,120,840,0.0,0.0,10,22.2,19.0
31,161.0,720,120,840,0.0,0.0,9,22.4,19.2
32,120.0,720,120,840,0.0,0.0,8,16.7,14.3
33,170.0,720,120,840,0.0,0.0,10,23.6,20.2
34,184.0,720,120,840,0.0,0.0,12,25.6,21.9
35,65.0,720,120,840,0.0,0.0,4,9.0,7.7
36,109.0,720,120,840,0.0,0.0,8,15.1,13.0
37,133.0,720,120,840,0.0,0.0,8,18.5,15.8
38,208.0,720,120,840,0.0,0.0,14,28.9,24.8
39,179.0,720,120,840,0.0,0.0,13,24.9,21.3
40,162.0,720,120,840,0.0,0.0,11,22.5,19.3
41,135.0,720,120,840,0.0,0.0,8,18.8,16.1
42,140.0,720,120,840,0.0,0.0,10,19.4,16.7
43,269.0,720,120,840,0.0,0.0,18,37.4,32.0
44,315.0,720,120,840,0.0,0.0,18,43.8,37.5
45,274.0,720,120,840,0.0,0.0,17,38.1,32.6
46,356.0,720,120,840,0.0,0.0,23,49.4,42.4
47,211.0,720,120,840,0.0,0.0,14,29.3,25.1
48,300.0,720,120,840,0.0,0.0,20,41.7,35.7
49,240.0,720,120,840,0.0,0.0,15,33.3,28.6
50,248.0,720,120,840,0.0,0.0,16,34.4,29.5
51,164.0,720,120,840,0.0,0.0,10,22.8,19.5
52,191.0,720,120,840,0.0,0.0,11,26.5,22.7
53,235.0,720,120,840,0.0,0.0,16,32.6,28.0
54,232.0,720,120,840,0.0,0.0,14,32.2,27.6
55,186.0,720,120,840,0.0,0.0,12,25.8,22.1
56,225.0,720,120,840,0.0,0.0,15,31.2,26.8
57,352.0,720,120,840,0.0,0.0,24,48.9,41.9
58,270.0,720,120,840,0.0,0.0,17,37.5,32.1
59,313.0,720,120,840,0.0,0.0,20,43.5,37.3
60,245.0,720,120,840,0.0,0.0,17,34.0,29.2
61,354.0,720,120,840,0.0,0.0,24,49.2,42.1
62,299.0,720,120,840,0.0,0.0,19,41.5,35.6
63,202.0,720,120,840,0.0,0.0,14,28.1,24.0
64,212.0,720,120,840,0.0,0.0,14,29.4,25.2
65,386.0,720,120,840,0.0,0.0,22,53.6,46.0
66,283.0,720,120,840,0.0,0.0,18,39.3,33.7
67,468.0,720,120,840,0.0,0.0,31,65.0,55.7
68,283.0,720,120,840,0.0,0.0,19,39.3,33.7
69,302.0,720,120,840,0.0,0.0,20,41.9,36.0
70,346.0,720,120,840,0.0,0.0,22,48.1,41.2
71,480.0,720,120,840,0.0,0.0,31,66.7,57.1
72,270.0,720,120,840,0.0,0.0,17,37.5,32.1
73,372.0,720,120,840,0.0,0.0,23,51.7,44.3
74,257.0,720,120,840,0.0,0.0,17,35.7,30.6
75,449.0,720,120,840,0.0,0.0,27,62.4,53.5
76,312.0,720,120,840,0.0,0.0,20,43.3,37.1
77,306.0,720,120,840,0.0,0.0,20,42.5,36.4
78,211.0,720,120,840,0.0,0.0,15,29.3,25.1
79,358.0,720,120,840,0.0,0.0,22,49.7,42.6
80,367.0,720,120,840,0.0,0.0,24,51.0,43.7
81,333.0,720,120,840,0.0,0.0,23,46.2,39.6
82,342.0,720,120,840,0.0,0.0,24,47.5,40.7
83,297.0,720,120,840,0.0,0.0,19,41.2,35.4
84,321.0,720,120,840,0.0,0.0,21,44.6,38.2
