dia,ocupacion_modulos,capacidad_ordinaria_K,capacidad_extra_K_ext,capacidad_total,modulos_extra_usados,holgura_yt,n_sesiones,pct_ocupacion,pct_ocupacion_total
1,147.0,720,120,840,0.0,0.0,10,20.4,17.5
2,48.0,720,120,840,0.0,0.0,3,6.7,5.7
3,104.0,720,120,840,0.0,0.0,7,14.4,12.4
4,45.0,720,120,840,0.0,0.0,3,6.2,5.4
5,147.0,720,120,840,0.0,0.0,9,20.4,17.5
6,93.0,720,120,840,0.0,0.0,6,12.9,11.1
7,60.0,720,120,840,0.0,0.0,4,8.3,7.1
8,99.0,720,120,840,0.0,0.0,6,13.8,11.8
9,77.0,720,120,840,0.0,0.0,5,10.7,9.2
10,96.0,720,120,840,0.0,0.0,6,13.3,11.4
11,40.0,720,120,840,0.0,0.0,3,5.6,4.8
12,87.0,720,120,840,0.0,0.0,6,12.1,10.4
13,120.0,720,120,840,0.0,0.0,8,16.7,14.3
14,132.0,720,120,840,0.0,0.0,8,18.3,15.7
15,167.0,720,120,840,0.0,0.0,11,23.2,19.9
16,111.0,720,120,840,0.0,0.0,7,15.4,13.2
17,122.0,720,120,840,0.0,0.0,8,16.9,14.5
18,78.0,720,120,840,0.0,0.0,5,10.8,9.3
19,96.0,720,120,840,0.0,0.0,6,13.3,11.4
20,114.0,720,120,840,0.0,0.0,7,15.8,13.6
21,100.0,720,120,840,0.0,0.0,7,13.9,11.9
22,129.0,720,120,840,0.0,0.0,10,17.9,15.4
23,182.0,720,120,840,0.0,0.0,10,25.3,21.7
24,126.0,720,120,840,0.0,0.0,8,17.5,15.0
25,102.0,720,120,840,0.0,0.0,7,14.2,12.1
26,242.0,720,120,840,0.0,0.0,15,33.6,28.8
27,167.0,720,120,840,0.0,0.0,11,23.2,19.9
28,165.0,720,120,840,0.0,0.0,11,22.9,19.6
29,274.0,720,120,840,0.0,0.0,17,38.1,32.6
30,150.0,720,120,840,0.0,0.0,9,20.8,17.9
31,268.0,720,120,840,0.0,0.0,17,37.2,31.9
32,111.0,720,120,840,0.0,0.0,8,15.4,13.2
33,212.0,720,120,840,0.0,0.0,14,29.4,25.2
34,209.0,720,120,840,0.0,0.0,14,29.0,24.9
35,179.0,720,120,840,0.0,0.0,11,24.9,21.3
36,118.0,720,120,840,0.0,0.0,8,16.4,14.0
37,197.0,720,120,840,0.0,0.0,13,27.4,23.5
38,172.0,720,120,840,0.0,0.0,11,23.9,20.5
39,120.0,720,120,840,0.0,0.0,8,16.7,14.3
40,190.0,720,120,840,0.0,0.0,12,26.4,22.6
41,214.0,720,120,840,0.0,0.0,14,29.7,25.5
42,284.0,720,120,840,0.0,0.0,19,39.4,33.8
43,346.0,720,120,840,0.0,0.0,24,48.1,41.2
44,218.0,720,120,840,0.0,0.0,12,30.3,26.0
45,285.0,720,120,840,0.0,0.0,19,39.6,33.9
46,158.0,720,120,840,0.0,0.0,10,21.9,18.8
47,332.0,720,120,840,0.0,0.0,21,46.1,39.5
48,212.0,720,120,840,0.0,0.0,14,29.4,25.2
49,206.0,720,120,840,0.0,0.0,14,28.6,24.5
50,280.0,720,120,840,0.0,0.0,17,38.9,33.3
51,288.0,720,120,840,0.0,0.0,18,40.0,34.3
52,329.0,720,120,840,0.0,0.0,20,45.7,39.2
53,245.0,720,120,840,0.0,0.0,18,34.0,29.2
54,305.0,720,120,840,0.0,0.0,20,42.4,36.3
55,312.0,720,120,840,0.0,0.0,21,43.3,37.1
56,332.0,720,120,840,0.0,0.0,21,46.1,39.5
57,341.0,720,120,840,0.0,0.0,22,47.4,40.6
58,221.0,720,120,840,0.0,0.0,15,30.7,26.3
59,256.0,720,120,840,0.0,0.0,17,35.6,30.5
60,142.0,720,120,840,0.0,0.0,9,19.7,16.9
61,263.0,720,120,840,0.0,0.0,16,36.5,31.3
62,234.0,720,120,840,0.0,0.0,15,32.5,27.9
63,251.0,720,120,840,0.0,0.0,17,34.9,29.9
64,338.0,720,120,840,0.0,0.0,23,46.9,40.2
65,351.0,720,120,840,0.0,0.0,21,48.8,41.8
66,374.0,720,120,840,0.0,0.0,23,51.9,44.5
67,314.0,720,120,840,0.0,0.0,20,43.6,37.4
68,362.0,720,120,840,0.0,0.0,23,50.3,43.1
69,334.0,720,120,840,0.0,0.0,21,46.4,39.8
70,374.0,720,120,840,0.0,0.0,24,51.9,44.5
71,502.0,720,120,840,0.0,0.0,31,69.7,59.8
72,366.0,720,120,840,0.0,0.0,23,50.8,43.6
73,406.0,720,120,840,0.0,0.0,25,56.4,48.3
74,300.0,720,120,840,0.0,0.0,21,41.7,35.7
75,353.0,720,120,840,0.0,0.0,23,49.0,42.0
76,368.0,720,120,840,0.0,0.0,24,51.1,43.8
77,268.0,720,120,840,0.0,0.0,17,37.2,31.9
78,259.0,720,120,840,0.0,0.0,17,36.0,30.8
79,357.0,720,120,840,0.0,0.0,23,49.6,42.5
80,308.0,720,120,840,0.0,0.0,20,42.8,36.7
81,256.0,720,120,840,0.0,0.0,17,35.6,30.5
82,271.0,720,120,840,0.0,0.0,17,37.6,32.3
83,310.0,720,120,840,0.0,0.0,20,43.1,36.9
84,389.0,720,120,840,0.0,0.0,26,54.0,46.3
85,555.0,720,120,840,0.0,0.0,37,77.1,66.1
86,431.0,720,120,840,0.0,0.0,26,59.9,51.3
87,480.0,720,120,840,0.0,0.0,32,66.7,57.1
88,370.0,720,120,840,0.0,0.0,23,51.4,44.0
89,426.0,720,120,840,0.0,0.0,27,59.2,50.7
90,340.0,720,120,840,0.0,0.0,21,47.2,40.5
91,323.0,720,120,840,0.0,0.0,21,44.9,38.5
92,413.0,720,120,840,0.0,0.0,26,57.4,49.2
93,415.0,720,120,840,0.0,0.0,26,57.6,49.4
94,482.0,720,120,840,0.0,0.0,29,66.9,57.4
95,407.0,720,120,840,0.0,0.0,28,56.5,48.5
96,402.0,720,120,840,0.0,0.0,26,55.8,47.9
97,449.0,720,120,840,0.0,0.0,30,62.4,53.5
98,433.0,720,120,840,0.0,0.0,27,60.1,51.5
99,529.0,720,120,840,0.0,0.0,35,73.5,63.0
100,457.0,720,120,840,0.0,0.0,29,63.5,54.4
101,377.0,720,120,840,0.0,0.0,25,52.4,44.9
102,342.0,720,120,840,0.0,0.0,22,47.5,40.7
103,408.0,720,120,840,0.0,0.0,25,56.7,48.6
104,333.0,720,120,840,0.0,0.0,21,46.2,39.6
105,329.0,720,120,840,0.0,0.0,22,45.7,39.2
106,441.0,720,120,840,0.0,0.0,29,61.2,52.5
107,430.0,720,120,840,0.0,0.0,26,59.7,51.2
108,540.0,720,120,840,0.0,0.0,34,75.0,64.3
109,378.0,720,120,840,0.0,0.0,24,52.5,45.0
110,462.0,720,120,840,0.0,0.0,30,64.2,55.0
111,453.0,720,120,840,0.0,0.0,29,62.9,53.9
112,538.0,720,120,840,0.0,0.0,35,74.7,64.0
113,700.0,720,120,840,0.0,0.0,44,97.2,83.3
114,527.0,720,120,840,0.0,0.0,33,73.2,62.7
115,549.0,720,120,840,0.0,0.0,35,76.2,65.4
116,514.0,720,120,840,0.0,0.0,34,71.4,61.2
117,490.0,720,120,840,0.0,0.0,31,68.1,58.3
118,473.0,720,120,840,0.0,0.0,31,65.7,56.3
119,389.0,720,120,840,0.0,0.0,24,54.0,46.3
120,396.0,720,120,840,0.0,0.0,25,55.0,47.1
121,472.0,720,120,840,0.0,0.0,30,65.6,56.2
122,406.0,720,120,840,0.0,0.0,25,56.4,48.3
123,350.0,720,120,840,0.0,0.0,23,48.6,41.7
124,421.0,720,120,840,0.0,0.0,27,58.5,50.1
125,440.0,720,120,840,0.0,0.0,29,61.1,52.4
126,558.0,720,120,840,0.0,0.0,36,77.5,66.4
127,703.0,720,120,840,0.0,0.0,45,97.6,83.7
128,608.0,720,120,840,0.0,0.0,37,84.4,72.4
129,623.0,720,120,840,0.0,0.0,40,86.5,74.2
130,495.0,720,120,840,0.0,0.0,31,68.8,58.9
131,467.0,720,120,840,0.0,0.0,30,64.9,55.6
132,569.0,720,120,840,0.0,0.0,36,79.0,67.7
133,455.0,720,120,840,0.0,0.0,29,63.2,54.2
134,558.0,720,120,840,0.0,0.0,36,77.5,66.4
135,487.0,720,120,840,0.0,0.0,30,67.6,58.0
136,565.0,720,120,840,0.0,0.0,35,78.5,67.3
137,549.0,720,120,840,0.0,0.0,36,76.2,65.4
138,479.0,720,120,840,0.0,0.0,31,66.5,57.0
139,571.0,720,120,840,0.0,0.0,38,79.3,68.0
140,569.0,720,120,840,0.0,0.0,36,79.0,67.7
141,680.0,720,120,840,0.0,0.0,43,94.4,81.0
142,654.0,720,120,840,0.0,0.0,42,90.8,77.9
143,512.0,720,120,840,0.0,0.0,33,71.1,61.0
