dia,ocupacion_modulos,capacidad_ordinaria_K,capacidad_extra_K_ext,capacidad_total,modulos_extra_usados,holgura_yt,n_sesiones,pct_ocupacion,pct_ocupacion_total
1,91.0,720,120,840,0.0,0.0,6,12.6,10.8
2,63.0,720,120,840,0.0,0.0,4,8.8,7.5
3,71.0,720,120,840,0.0,0.0,5,9.9,8.5
4,77.0,720,120,840,0.0,0.0,5,10.7,9.2
5,73.0,720,120,840,0.0,0.0,5,10.1,8.7
6,32.0,720,120,840,0.0,0.0,2,4.4,3.8
7,87.0,720,120,840,0.0,0.0,5,12.1,10.4
8,112.0,720,120,840,0.0,0.0,7,15.6,13.3
9,41.0,720,120,840,0.0,0.0,2,5.7,4.9
10,57.0,720,120,840,0.0,0.0,4,7.9,6.8
11,71.0,720,120,840,0.0,0.0,5,9.9,8.5
12,65.0,720,120,840,0.0,0.0,3,9.0,7.7
13,82.0,720,120,840,0.0,0.0,6,11.4,9.8
14,103.0,720,120,840,0.0,0.0,6,14.3,12.3
15,62.0,720,120,840,0.0,0.0,4,8.6,7.4
16,98.0,720,120,840,0.0,0.0,6,13.6,11.7
17,76.0,720,120,840,0.0,0.0,5,10.6,9.0
18,111.0,720,120,840,0.0,0.0,7,15.4,13.2
19,112.0,720,120,840,0.0,0.0,7,15.6,13.3
20,124.0,720,120,840,0.0,0.0,8,17.2,14.8
21,196.0,720,120,840,0.0,0.0,12,27.2,23.3
22,246.0,720,120,840,0.0,0.0,16,34.2,29.3
23,155.0,720,120,840,0.0,0.0,10,21.5,18.5
24,112.0,720,120,840,0.0,0.0,8,15.6,13.3
25,181.0,720,120,840,0.0,0.0,12,25.1,21.5
26,198.0,720,120,840,0.0,0.0,13,27.5,23.6
27,96.0,720,120,840,0.0,0.0,6,13.3,11.4
28,81.0,720,120,840,0.0,0.0,5,11.2,9.6
29,157.0,720,120,840,0.0,0.0,10,21.8,18.7
30,179.0,720,120,840,0.0,0.0,12,24.9,21.3
31,127.0,720,120,840,0.0,0.0,8,17.6,15.1
32,169.0,720,120,840,0.0,0.0,11,23.5,20.1
33,137.0,720,120,840,0.0,0.0,8,19.0,16.3
34,178.0,720,120,840,0.0,0.0,12,24.7,21.2
35,223.0,720,120,840,0.0,0.0,13,31.0,26.5
36,190.0,720,120,840,0.0,0.0,12,26.4,22.6
37,198.0,720,120,840,0.0,0.0,13,27.5,23.6
38,128.0,720,120,840,0.0,0.0,9,17.8,15.2
39,187.0,720,120,840,0.0,0.0,12,26.0,22.3
40,150.0,720,120,840,0.0,0.0,10,20.8,17.9
41,241.0,720,120,840,0.0,0.0,16,33.5,28.7
42,212.0,720,120,840,0.0,0.0,14,29.4,25.2
43,284.0,720,120,840,0.0,0.0,18,39.4,33.8
44,224.0,720,120,840,0.0,0.0,14,31.1,26.7
45,174.0,720,120,840,0.0,0.0,11,24.2,20.7
46,301.0,720,120,840,0.0,0.0,19,41.8,35.8
47,261.0,720,120,840,0.0,0.0,17,36.2,31.1
48,219.0,720,120,840,0.0,0.0,14,30.4,26.1
49,237.0,720,120,840,0.0,0.0,14,32.9,28.2
50,237.0,720,120,840,0.0,0.0,15,32.9,28.2
51,261.0,720,120,840,0.0,0.0,17,36.2,31.1
52,199.0,720,120,840,0.0,0.0,13,27.6,23.7
53,224.0,720,120,840,0.0,0.0,15,31.1,26.7
54,219.0,720,120,840,0.0,0.0,13,30.4,26.1
55,309.0,720,120,840,0.0,0.0,20,42.9,36.8
56,338.0,720,120,840,0.0,0.0,20,46.9,40.2
