dia,ocupacion_modulos,capacidad_ordinaria_K,capacidad_extra_K_ext,capacidad_total,modulos_extra_usados,holgura_yt,n_sesiones,pct_ocupacion,pct_ocupacion_total
1,63.0,720,120,840,0.0,0.0,5,8.8,7.5
2,143.0,720,120,840,0.0,0.0,10,19.9,17.0
3,71.0,720,120,840,0.0,0.0,4,9.9,8.5
4,101.0,720,120,840,0.0,0.0,6,14.0,12.0
5,94.0,720,120,840,0.0,0.0,6,13.1,11.2
6,47.0,720,120,840,0.0,0.0,3,6.5,5.6
7,20.0,720,120,840,0.0,0.0,1,2.8,2.4
8,38.0,720,120,840,0.0,0.0,3,5.3,4.5
9,57.0,720,120,840,0.0,0.0,3,7.9,6.8
10,43.0,720,120,840,0.0,0.0,3,6.0,5.1
11,153.0,720,120,840,0.0,0.0,9,21.2,18.2
12,32.0,720,120,840,0.0,0.0,2,4.4,3.8
13,79.0,720,120,840,0.0,0.0,5,11.0,9.4
14,94.0,720,120,840,0.0,0.0,6,13.1,11.2
15,88.0,720,120,840,0.0,0.0,6,12.2,10.5
16,63.0,720,120,840,0.0,0.0,4,8.8,7.5
17,52.0,720,120,840,0.0,0.0,4,7.2,6.2
18,111.0,720,120,840,0.0,0.0,7,15.4,13.2
19,110.0,720,120,840,0.0,0.0,7,15.3,13.1
20,189.0,720,120,840,0.0,0.0,13,26.2,22.5
21,93.0,720,120,840,0.0,0.0,6,12.9,11.1
22,136.0,720,120,840,0.0,0.0,9,18.9,16.2
23,211.0,720,120,840,0.0,0.0,15,29.3,25.1
24,133.0,720,120,840,0.0,0.0,8,18.5,15.8
25,228.0,720,120,840,0.0,0.0,14,31.7,27.1
26,178.0,720,120,840,0.0,0.0,11,24.7,21.2
27,218.0,720,120,840,0.0,0.0,13,30.3,26.0
28,141.0,720,120,840,0.0,0.0,9,19.6,16.8
29,254.0,720,120,840,0.0,0.0,17,35.3,30.2
30,120.0,720,120,840,0.0,0.0,7,16.7,14.3
31,152.0,720,120,840,0.0,0.0,10,21.1,18.1
32,244.0,720,120,840,0.0,0.0,15,33.9,29.0
33,138.0,720,120,840,0.0,0.0,9,19.2,16.4
34,207.0,720,120,840,0.0,0.0,13,28.8,24.6
35,151.0,720,120,840,0.0,0.0,9,21.0,18.0
36,110.0,720,120,840,0.0,0.0,7,15.3,13.1
37,111.0,720,120,840,0.0,0.0,7,15.4,13.2
38,142.0,720,120,840,0.0,0.0,11,19.7,16.9
39,233.0,720,120,840,0.0,0.0,15,32.4,27.7
40,119.0,720,120,840,0.0,0.0,7,16.5,14.2
41,281.0,720,120,840,0.0,0.0,18,39.0,33.5
42,182.0,720,120,840,0.0,0.0,12,25.3,21.7
43,317.0,720,120,840,0.0,0.0,21,44.0,37.7
44,353.0,720,120,840,0.0,0.0,23,49.0,42.0
45,188.0,720,120,840,0.0,0.0,11,26.1,22.4
46,354.0,720,120,840,0.0,0.0,23,49.2,42.1
47,344.0,720,120,840,0.0,0.0,22,47.8,41.0
48,347.0,720,120,840,0.0,-0.0,22,48.2,41.3
49,157.0,720,120,840,0.0,0.0,10,21.8,18.7
50,207.0,720,120,840,0.0,0.0,14,28.8,24.6
51,181.0,720,120,840,0.0,0.0,11,25.1,21.5
52,246.0,720,120,840,0.0,0.0,16,34.2,29.3
53,300.0,720,120,840,0.0,0.0,18,41.7,35.7
54,126.0,720,120,840,0.0,0.0,8,17.5,15.0
55,222.0,720,120,840,0.0,0.0,14,30.8,26.4
56,215.0,720,120,840,0.0,0.0,14,29.9,25.6
57,246.0,720,120,840,0.0,0.0,16,34.2,29.3
58,234.0,720,120,840,0.0,0.0,15,32.5,27.9
59,221.0,720,120,840,0.0,0.0,16,30.7,26.3
60,371.0,720,120,840,0.0,0.0,24,51.5,44.2
61,337.0,720,120,840,0.0,0.0,21,46.8,40.1
62,340.0,720,120,840,0.0,-0.0,22,47.2,40.5
63,198.0,720,120,840,0.0,0.0,13,27.5,23.6
64,330.0,720,120,840,0.0,0.0,21,45.8,39.3
65,414.0,720,120,840,0.0,0.0,27,57.5,49.3
66,310.0,720,120,840,0.0,0.0,20,43.1,36.9
67,452.0,720,120,840,0.0,0.0,29,62.8,53.8
68,363.0,720,120,840,0.0,0.0,23,50.4,43.2
69,407.0,720,120,840,0.0,0.0,25,56.5,48.5
70,284.0,720,120,840,0.0,0.0,19,39.4,33.8
71,353.0,720,120,840,0.0,0.0,24,49.0,42.0
72,323.0,720,120,840,0.0,0.0,20,44.9,38.5
73,261.0,720,120,840,0.0,0.0,17,36.2,31.1
74,453.0,720,120,840,0.0,0.0,28,62.9,53.9
75,292.0,720,120,840,0.0,0.0,19,40.6,34.8
76,300.0,720,120,840,0.0,0.0,19,41.7,35.7
77,263.0,720,120,840,0.0,0.0,17,36.5,31.3
78,313.0,720,120,840,0.0,0.0,20,43.5,37.3
79,218.0,720,120,840,0.0,0.0,14,30.3,26.0
80,309.0,720,120,840,0.0,0.0,22,42.9,36.8
81,474.0,720,120,840,0.0,0.0,30,65.8,56.4
82,407.0,720,120,840,0.0,0.0,25,56.5,48.5
83,385.0,720,120,840,0.0,0.0,25,53.5,45.8
84,319.0,720,120,840,0.0,0.0,21,44.3,38.0
85,489.0,720,120,840,0.0,0.0,31,67.9,58.2
86,498.0,720,120,840,0.0,0.0,32,69.2,59.3
87,346.0,720,120,840,0.0,0.0,22,48.1,41.2
88,518.0,720,120,840,0.0,0.0,34,71.9,61.7
89,524.0,720,120,840,0.0,-0.0,34,72.8,62.4
90,495.0,720,120,840,0.0,-0.0,31,68.8,58.9
91,314.0,720,120,840,0.0,0.0,21,43.6,37.4
92,434.0,720,120,840,0.0,0.0,29,60.3,51.7
93,243.0,720,120,840,0.0,0.0,15,33.8,28.9
94,408.0,720,120,840,0.0,0.0,26,56.7,48.6
95,485.0,720,120,840,0.0,0.0,30,67.4,57.7
96,324.0,720,120,840,0.0,0.0,21,45.0,38.6
97,304.0,720,120,840,0.0,0.0,20,42.2,36.2
98,362.0,720,120,840,0.0,0.0,23,50.3,43.1
99,357.0,720,120,840,0.0,0.0,23,49.6,42.5
100,353.0,720,120,840,0.0,0.0,22,49.0,42.0
101,317.0,720,120,840,0.0,0.0,22,44.0,37.7
102,609.0,720,120,840,0.0,0.0,38,84.6,72.5
103,563.0,720,120,840,0.0,-0.0,35,78.2,67.0
104,451.0,720,120,840,0.0,-0.0,29,62.6,53.7
105,355.0,720,120,840,0.0,0.0,23,49.3,42.3
106,588.0,720,120,840,0.0,0.0,37,81.7,70.0
107,444.0,720,120,840,0.0,0.0,29,61.7,52.9
108,418.0,720,120,840,0.0,0.0,27,58.1,49.8
109,597.0,720,120,840,0.0,0.0,39,82.9,71.1
110,445.0,720,120,840,0.0,-0.0,29,61.8,53.0
111,537.0,720,120,840,0.0,0.0,34,74.6,63.9
112,400.0,720,120,840,0.0,0.0,27,55.6,47.6
113,529.0,720,120,840,0.0,0.0,35,73.5,63.0
114,418.0,720,120,840,0.0,0.0,26,58.1,49.8
115,556.0,720,120,840,0.0,0.0,34,77.2,66.2
116,521.0,720,120,840,0.0,0.0,32,72.4,62.0
117,491.0,720,120,840,0.0,-0.0,32,68.2,58.5
118,369.0,720,120,840,0.0,0.0,24,51.2,43.9
119,415.0,720,120,840,0.0,0.0,26,57.6,49.4
120,395.0,720,120,840,0.0,0.0,25,54.9,47.0
121,292.0,720,120,840,0.0,0.0,19,40.6,34.8
122,350.0,720,120,840,0.0,0.0,23,48.6,41.7
123,584.0,720,120,840,0.0,0.0,36,81.1,69.5
124,530.0,720,120,840,0.0,-0.0,33,73.6,63.1
125,403.0,720,120,840,0.0,0.0,25,56.0,48.0
126,393.0,720,120,840,0.0,0.0,26,54.6,46.8
127,601.0,720,120,840,0.0,0.0,38,83.5,71.5
128,648.0,720,120,840,0.0,-0.0,40,90.0,77.1
129,487.0,720,120,840,0.0,0.0,31,67.6,58.0
130,637.0,720,120,840,0.0,0.0,42,88.5,75.8
131,613.0,720,120,840,0.0,-0.0,40,85.1,73.0
132,573.0,720,120,840,0.0,-0.0,36,79.6,68.2
133,468.0,720,120,840,0.0,-0.0,31,65.0,55.7
134,500.0,720,120,840,0.0,0.0,33,69.4,59.5
135,340.0,720,120,840,0.0,0.0,22,47.2,40.5
136,520.0,720,120,840,0.0,0.0,31,72.2,61.9
137,505.0,720,120,840,0.0,0.0,31,70.1,60.1
138,476.0,720,120,840,0.0,0.0,31,66.1,56.7
139,379.0,720,120,840,0.0,0.0,25,52.6,45.1
140,369.0,720,120,840,0.0,0.0,23,51.2,43.9
141,431.0,720,120,840,0.0,0.0,27,59.9,51.3
142,527.0,720,120,840,0.0,0.0,33,73.2,62.7
143,380.0,720,120,840,0.0,0.0,24,52.8,45.2
144,618.0,720,120,840,0.0,0.0,38,85.8,73.6
145,630.0,720,120,840,0.0,-0.0,39,87.5,75.0
146,474.0,720,120,840,0.0,-0.0,29,65.8,56.4
147,499.0,720,120,840,0.0,0.0,32,69.3,59.4
148,650.0,720,120,840,0.0,0.0,40,90.3,77.4
149,617.0,720,120,840,0.0,-0.0,38,85.7,73.5
150,503.0,720,120,840,0.0,0.0,33,69.9,59.9
151,618.0,720,120,840,0.0,0.0,40,85.8,73.6
152,597.0,720,120,840,0.0,-0.0,39,82.9,71.1
153,538.0,720,120,840,0.0,0.0,34,74.7,64.0
154,406.0,720,120,840,0.0,0.0,27,56.4,48.3
155,566.0,720,120,840,0.0,0.0,37,78.6,67.4
156,508.0,720,120,840,0.0,0.0,32,70.6,60.5
157,555.0,720,120,840,0.0,0.0,34,77.1,66.1
158,582.0,720,120,840,0.0,0.0,36,80.8,69.3
159,556.0,720,120,840,0.0,-0.0,36,77.2,66.2
160,439.0,720,120,840,0.0,0.0,28,61.0,52.3
161,422.0,720,120,840,0.0,0.0,26,58.6,50.2
162,519.0,720,120,840,0.0,0.0,32,72.1,61.8
163,447.0,720,120,840,0.0,-0.0,29,62.1,53.2
164,393.0,720,120,840,0.0,0.0,25,54.6,46.8
165,617.0,720,120,840,0.0,0.0,39,85.7,73.5
166,605.0,720,120,840,0.0,-0.0,37,84.0,72.0
167,432.0,720,120,840,0.0,0.0,27,60.0,51.4
168,458.0,720,120,840,0.0,0.0,29,63.6,54.5
169,674.0,720,120,840,0.0,0.0,40,93.6,80.2
170,677.0,720,120,840,0.0,-0.0,43,94.0,80.6
171,528.0,720,120,840,0.0,0.0,34,73.3,62.9
172,713.0,720,120,840,0.0,-0.0,46,99.0,84.9
173,719.0,720,120,840,0.0,-0.0,47,99.9,85.6
