dia,ocupacion_modulos,capacidad_ordinaria_K,capacidad_extra_K_ext,capacidad_total,modulos_extra_usados,holgura_yt,n_sesiones,pct_ocupacion,pct_ocupacion_total
1,100.0,720,120,840,0.0,0.0,7,13.9,11.9
2,79.0,720,120,840,0.0,0.0,5,11.0,9.4
3,197.0,720,120,840,0.0,0.0,11,27.4,23.5
4,54.0,720,120,840,0.0,0.0,4,7.5,6.4
5,76.0,720,120,840,0.0,0.0,5,10.6,9.0
6,106.0,720,120,840,0.0,0.0,7,14.7,12.6
7,91.0,720,120,840,0.0,0.0,5,12.6,10.8
8,55.0,720,120,840,0.0,0.0,3,7.6,6.5
9,47.0,720,120,840,0.0,0.0,3,6.5,5.6
10,55.0,720,120,840,0.0,0.0,4,7.6,6.5
11,116.0,720,120,840,0.0,0.0,7,16.1,13.8
12,61.0,720,120,840,0.0,0.0,4,8.5,7.3
13,40.0,720,120,840,0.0,0.0,3,5.6,4.8
14,16.0,720,120,840,0.0,0.0,1,2.2,1.9
15,133.0,720,120,840,0.0,0.0,9,18.5,15.8
16,177.0,720,120,840,0.0,0.0,11,24.6,21.1
17,112.0,720,120,840,0.0,0.0,8,15.6,13.3
18,42.0,720,120,840,0.0,0.0,3,5.8,5.0
19,78.0,720,120,840,0.0,0.0,5,10.8,9.3
20,140.0,720,120,840,0.0,0.0,9,19.4,16.7
21,57.0,720,120,840,0.0,0.0,3,7.9,6.8
22,90.0,720,120,840,0.0,0.0,6,12.5,10.7
23,147.0,720,120,840,0.0,0.0,9,20.4,17.5
24,247.0,720,120,840,0.0,0.0,15,34.3,29.4
25,131.0,720,120,840,0.0,0.0,9,18.2,15.6
26,166.0,720,120,840,0.0,0.0,11,23.1,19.8
27,131.0,720,120,840,0.0,0.0,9,18.2,15.6
28,154.0,720,120,840,0.0,0.0,9,21.4,18.3
29,241.0,720,120,840,0.0,0.0,14,33.5,28.7
30,210.0,720,120,840,0.0,0.0,13,29.2,25.0
31,217.0,720,120,840,0.0,0.0,13,30.1,25.8
32,196.0,720,120,840,0.0,0.0,13,27.2,23.3
33,195.0,720,120,840,0.0,0.0,11,27.1,23.2
34,181.0,720,120,840,0.0,0.0,11,25.1,21.5
35,54.0,720,120,840,0.0,0.0,4,7.5,6.4
36,146.0,720,120,840,0.0,0.0,10,20.3,17.4
37,133.0,720,120,840,0.0,0.0,8,18.5,15.8
38,97.0,720,120,840,0.0,0.0,7,13.5,11.5
39,96.0,720,120,840,0.0,0.0,6,13.3,11.4
40,142.0,720,120,840,0.0,0.0,9,19.7,16.9
41,173.0,720,120,840,0.0,0.0,12,24.0,20.6
42,135.0,720,120,840,0.0,0.0,8,18.8,16.1
43,226.0,720,120,840,0.0,0.0,15,31.4,26.9
44,388.0,720,120,840,0.0,0.0,24,53.9,46.2
45,440.0,720,120,840,0.0,0.0,27,61.1,52.4
46,172.0,720,120,840,0.0,0.0,12,23.9,20.5
47,234.0,720,120,840,0.0,0.0,15,32.5,27.9
48,229.0,720,120,840,0.0,0.0,15,31.8,27.3
49,148.0,720,120,840,0.0,0.0,9,20.6,17.6
50,251.0,720,120,840,0.0,0.0,15,34.9,29.9
51,177.0,720,120,840,0.0,0.0,10,24.6,21.1
52,147.0,720,120,840,0.0,0.0,9,20.4,17.5
53,281.0,720,120,840,0.0,0.0,18,39.0,33.5
54,258.0,720,120,840,0.0,0.0,16,35.8,30.7
55,172.0,720,120,840,0.0,0.0,11,23.9,20.5
56,132.0,720,120,840,0.0,0.0,9,18.3,15.7
57,330.0,720,120,840,0.0,0.0,22,45.8,39.3
58,349.0,720,120,840,0.0,0.0,22,48.5,41.5
59,280.0,720,120,840,0.0,0.0,18,38.9,33.3
60,192.0,720,120,840,0.0,0.0,12,26.7,22.9
61,256.0,720,120,840,0.0,0.0,16,35.6,30.5
62,377.0,720,120,840,0.0,0.0,25,52.4,44.9
63,133.0,720,120,840,0.0,0.0,8,18.5,15.8
64,279.0,720,120,840,0.0,0.0,19,38.8,33.2
65,355.0,720,120,840,0.0,0.0,21,49.3,42.3
66,413.0,720,120,840,0.0,0.0,26,57.4,49.2
67,283.0,720,120,840,0.0,0.0,19,39.3,33.7
68,281.0,720,120,840,0.0,0.0,18,39.0,33.5
69,228.0,720,120,840,0.0,0.0,16,31.7,27.1
70,300.0,720,120,840,0.0,0.0,19,41.7,35.7
71,407.0,720,120,840,0.0,0.0,25,56.5,48.5
72,413.0,720,120,840,0.0,0.0,25,57.4,49.2
73,339.0,720,120,840,0.0,0.0,19,47.1,40.4
74,339.0,720,120,840,0.0,0.0,22,47.1,40.4
75,366.0,720,120,840,0.0,0.0,23,50.8,43.6
76,375.0,720,120,840,0.0,0.0,24,52.1,44.6
77,196.0,720,120,840,0.0,0.0,14,27.2,23.3
78,260.0,720,120,840,0.0,0.0,18,36.1,31.0
79,259.0,720,120,840,0.0,0.0,16,36.0,30.8
80,228.0,720,120,840,0.0,0.0,15,31.7,27.1
81,276.0,720,120,840,0.0,0.0,17,38.3,32.9
82,230.0,720,120,840,0.0,0.0,15,31.9,27.4
83,298.0,720,120,840,0.0,0.0,20,41.4,35.5
84,276.0,720,120,840,0.0,0.0,16,38.3,32.9
85,447.0,720,120,840,0.0,0.0,30,62.1,53.2
86,566.0,720,120,840,0.0,0.0,34,78.6,67.4
87,550.0,720,120,840,0.0,0.0,34,76.4,65.5
88,427.0,720,120,840,0.0,0.0,29,59.3,50.8
89,423.0,720,120,840,0.0,0.0,27,58.8,50.4
90,466.0,720,120,840,0.0,0.0,31,64.7,55.5
91,338.0,720,120,840,0.0,0.0,22,46.9,40.2
92,369.0,720,120,840,0.0,0.0,23,51.2,43.9
93,290.0,720,120,840,0.0,0.0,17,40.3,34.5
94,284.0,720,120,840,0.0,0.0,16,39.4,33.8
95,413.0,720,120,840,0.0,0.0,26,57.4,49.2
96,319.0,720,120,840,0.0,0.0,20,44.3,38.0
97,293.0,720,120,840,0.0,0.0,19,40.7,34.9
98,318.0,720,120,840,0.0,0.0,21,44.2,37.9
99,423.0,720,120,840,0.0,0.0,27,58.8,50.4
100,431.0,720,120,840,0.0,0.0,27,59.9,51.3
101,444.0,720,120,840,0.0,0.0,29,61.7,52.9
102,478.0,720,120,840,0.0,0.0,30,66.4,56.9
103,433.0,720,120,840,0.0,0.0,28,60.1,51.5
104,533.0,720,120,840,0.0,0.0,35,74.0,63.5
105,315.0,720,120,840,0.0,0.0,19,43.8,37.5
106,350.0,720,120,840,0.0,0.0,24,48.6,41.7
107,497.0,720,120,840,0.0,0.0,28,69.0,59.2
108,540.0,720,120,840,0.0,0.0,34,75.0,64.3
109,464.0,720,120,840,0.0,0.0,31,64.4,55.2
110,390.0,720,120,840,0.0,0.0,25,54.2,46.4
111,390.0,720,120,840,0.0,0.0,26,54.2,46.4
