dia,ocupacion_modulos,capacidad_ordinaria_K,capacidad_extra_K_ext,capacidad_total,modulos_extra_usados,holgura_yt,n_sesiones,pct_ocupacion,pct_ocupacion_total
104,458.0,720,120,840,0.0,0.0,29,63.6,54.5
105,521.0,720,120,840,0.0,0.0,33,72.4,62.0
106,436.0,720,120,840,0.0,0.0,28,60.6,51.9
107,455.0,720,120,840,0.0,0.0,28,63.2,54.2
108,515.0,720,120,840,0.0,0.0,34,71.5,61.3
109,515.0,720,120,840,0.0,0.0,34,71.5,61.3
110,599.0,720,120,840,0.0,0.0,39,83.2,71.3
111,395.0,720,120,840,0.0,0.0,26,54.9,47.0
112,475.0,720,120,840,0.0,0.0,31,66.0,56.5
113,515.0,720,120,840,0.0,0.0,32,71.5,61.3
114,444.0,720,120,840,0.0,0.0,27,61.7,52.9
115,521.0,720,120,840,0.0,0.0,32,72.4,62.0
116,409.0,720,120,840,0.0,0.0,26,56.8,48.7
117,406.0,720,120,840,0.0,0.0,25,56.4,48.3
118,514.0,720,120,840,0.0,0.0,32,71.4,61.2
119,460.0,720,120,840,0.0,0.0,30,63.9,54.8
120,544.0,720,120,840,0.0,0.0,35,75.6,64.8
121,429.0,720,120,840,0.0,0.0,26,59.6,51.1
122,624.0,720,120,840,0.0,0.0,39,86.7,74.3
123,478.0,720,120,840,0.0,0.0,30,66.4,56.9
124,599.0,720,120,840,0.0,0.0,38,83.2,71.3
125,420.0,720,120,840,0.0,0.0,26,58.3,50.0
126,546.0,720,120,840,0.0,0.0,35,75.8,65.0
127,470.0,720,120,840,0.0,0.0,30,65.3,56.0
128,599.0,720,120,840,0.0,0.0,37,83.2,71.3
129,578.0,720,120,840,0.0,0.0,37,80.3,68.8
130,628.0,720,120,840,0.0,0.0,41,87.2,74.8
131,509.0,720,120,840,0.0,0.0,33,70.7,60.6
132,628.0,720,120,840,0.0,0.0,40,87.2,74.8
133,524.0,720,120,840,0.0,0.0,34,72.8,62.4
134,546.0,720,120,840,0.0,0.0,35,75.8,65.0
135,415.0,720,120,840,0.0,0.0,26,57.6,49.4
136,568.0,720,120,840,0.0,0.0,36,78.9,67.6
137,427.0,720,120,840,0.0,0.0,27,59.3,50.8
138,594.0,720,120,840,0.0,0.0,38,82.5,70.7
139,573.0,720,120,840,0.0,0.0,35,79.6,68.2
140,476.0,720,120,840,0.0,0.0,31,66.1,56.7
141,596.0,720,120,840,0.0,0.0,38,82.8,71.0
142,583.0,720,120,840,0.0,0.0,36,81.0,69.4
143,663.0,720,120,840,0.0,0.0,42,92.1,78.9
144,605.0,720,120,840,0.0,0.0,39,84.0,72.0
145,509.0,720,120,840,0.0,0.0,31,70.7,60.6
146,594.0,720,120,840,0.0,0.0,37,82.5,70.7
147,572.0,720,120,840,0.0,0.0,37,79.4,68.1
148,540.0,720,120,840,0.0,0.0,35,75.0,64.3
149,523.0,720,120,840,0.0,0.0,32,72.6,62.3
150,655.0,720,120,840,0.0,0.0,42,91.0,78.0
151,628.0,720,120,840,0.0,0.0,40,87.2,74.8
152,675.0,720,120,840,0.0,0.0,44,93.8,80.4
153,686.0,720,120,840,0.0,0.0,44,95.3,81.7
154,549.0,720,120,840,0.0,0.0,36,76.2,65.4
155,615.0,720,120,840,0.0,0.0,39,85.4,73.2
156,572.0,720,120,840,0.0,0.0,35,79.4,68.1
157,650.0,720,120,840,0.0,0.0,39,90.3,77.4
158,489.0,720,120,840,0.0,0.0,31,67.9,58.2
159,475.0,720,120,840,0.0,0.0,30,66.0,56.5
160,568.0,720,120,840,0.0,0.0,34,78.9,67.6
161,507.0,720,120,840,0.0,0.0,33,70.4,60.4
162,581.0,720,120,840,0.0,0.0,38,80.7,69.2
163,535.0,720,120,840,0.0,0.0,33,74.3,63.7
164,638.0,720,120,840,0.0,0.0,41,88.6,76.0
165,574.0,720,120,840,0.0,0.0,37,79.7,68.3
166,632.0,720,120,840,0.0,0.0,40,87.8,75.2
167,706.0,720,120,840,0.0,0.0,43,98.1,84.0
168,569.0,720,120,840,0.0,0.0,37,79.0,67.7
169,562.0,720,120,840,0.0,0.0,36,78.1,66.9
170,640.0,720,120,840,0.0,0.0,39,88.9,76.2
171,659.0,720,120,840,0.0,0.0,41,91.5,78.5
172,658.0,720,120,840,0.0,0.0,42,91.4,78.3
173,513.0,720,120,840,0.0,0.0,33,71.2,61.1
174,630.0,720,120,840,0.0,0.0,40,87.5,75.0
175,590.0,720,120,840,0.0,0.0,38,81.9,70.2
176,563.0,720,120,840,0.0,0.0,36,78.2,67.0
177,571.0,720,120,840,0.0,0.0,35,79.3,68.0
178,644.0,720,120,840,0.0,0.0,40,89.4,76.7
179,470.0,720,120,840,0.0,0.0,30,65.3,56.0
180,652.0,720,120,840,0.0,0.0,42,90.6,77.6
181,610.0,720,120,840,0.0,0.0,37,84.7,72.6
182,562.0,720,120,840,0.0,0.0,36,78.1,66.9
183,647.0,720,120,840,0.0,0.0,42,89.9,77.0
184,653.0,720,120,840,0.0,0.0,40,90.7,77.7
185,585.0,720,120,840,0.0,0.0,37,81.2,69.6
186,620.0,720,120,840,0.0,0.0,41,86.1,73.8
187,528.0,720,120,840,0.0,0.0,33,73.3,62.9
188,679.0,720,120,840,0.0,0.0,41,94.3,80.8
189,579.0,720,120,840,0.0,0.0,38,80.4,68.9
190,526.0,720,120,840,0.0,0.0,34,73.1,62.6
191,487.0,720,120,840,0.0,0.0,30,67.6,58.0
192,632.0,720,120,840,0.0,0.0,40,87.8,75.2
193,611.0,720,120,840,0.0,0.0,38,84.9,72.7
194,693.0,720,120,840,0.0,0.0,45,96.2,82.5
195,671.0,720,120,840,0.0,0.0,43,93.2,79.9
196,611.0,720,120,840,0.0,0.0,39,84.9,72.7
197,613.0,720,120,840,0.0,0.0,39,85.1,73.0
198,600.0,720,120,840,0.0,0.0,38,83.3,71.4
199,630.0,720,120,840,0.0,0.0,38,87.5,75.0
200,548.0,720,120,840,0.0,0.0,36,76.1,65.2
201,479.0,720,120,840,0.0,0.0,31,66.5,57.0
202,602.0,720,120,840,0.0,0.0,37,83.6,71.7
203,572.0,720,120,840,0.0,0.0,37,79.4,68.1
204,681.0,720,120,840,0.0,0.0,44,94.6,81.1
205,559.0,720,120,840,0.0,0.0,35,77.6,66.5
206,662.0,720,120,840,0.0,0.0,42,91.9,78.8
207,603.0,720,120,840,0.0,0.0,40,83.8,71.8
208,717.0,720,120,840,0.0,0.0,46,99.6,85.4
209,710.0,720,120,840,0.0,0.0,44,98.6,84.5
210,622.0,720,120,840,0.0,0.0,40,86.4,74.0
211,621.0,720,120,840,0.0,0.0,40,86.2,73.9
212,669.0,720,120,840,0.0,0.0,41,92.9,79.6
213,713.0,720,120,840,0.0,0.0,44,99.0,84.9
214,719.0,720,120,840,0.0,0.0,45,99.9,85.6
215,609.0,720,120,840,0.0,0.0,40,84.6,72.5
216,719.0,720,120,840,0.0,0.0,46,99.9,85.6
217,625.0,720,120,840,0.0,0.0,40,86.8,74.4
218,552.0,720,120,840,0.0,0.0,35,76.7,65.7
219,510.0,720,120,840,0.0,0.0,33,70.8,60.7
220,549.0,720,120,840,0.0,0.0,34,76.2,65.4
221,460.0,720,120,840,0.0,0.0,30,63.9,54.8
222,605.0,720,120,840,0.0,0.0,39,84.0,72.0
223,577.0,720,120,840,0.0,0.0,36,80.1,68.7
224,567.0,720,120,840,0.0,0.0,36,78.8,67.5
225,659.0,720,120,840,0.0,0.0,43,91.5,78.5
226,627.0,720,120,840,0.0,0.0,39,87.1,74.6
227,693.0,720,120,840,0.0,0.0,43,96.2,82.5
228,633.0,720,120,840,0.0,0.0,42,87.9,75.4
229,613.0,720,120,840,0.0,0.0,40,85.1,73.0
230,708.0,720,120,840,0.0,0.0,44,98.3,84.3
231,596.0,720,120,840,0.0,0.0,39,82.8,71.0
232,574.0,720,120,840,0.0,0.0,37,79.7,68.3
233,478.0,720,120,840,0.0,0.0,30,66.4,56.9
234,671.0,720,120,840,0.0,0.0,41,93.2,79.9
235,580.0,720,120,840,0.0,0.0,37,80.6,69.0
236,690.0,720,120,840,0.0,0.0,45,95.8,82.1
237,716.0,720,120,840,0.0,0.0,46,99.4,85.2
238,602.0,720,120,840,0.0,0.0,38,83.6,71.7
239,632.0,720,120,840,0.0,0.0,41,87.8,75.2
240,619.0,720,120,840,0.0,0.0,39,86.0,73.7
241,549.0,720,120,840,0.0,0.0,34,76.2,65.4
242,519.0,720,120,840,0.0,0.0,34,72.1,61.8
243,473.0,720,120,840,0.0,0.0,31,65.7,56.3
244,561.0,720,120,840,0.0,0.0,37,77.9,66.8
245,567.0,720,120,840,0.0,0.0,37,78.8,67.5
246,611.0,720,120,840,0.0,0.0,40,84.9,72.7
247,480.0,720,120,840,0.0,0.0,30,66.7,57.1
248,655.0,720,120,840,0.0,0.0,41,91.0,78.0
249,563.0,720,120,840,0.0,0.0,38,78.2,67.0
250,700.0,720,120,840,0.0,0.0,45,97.2,83.3
251,715.0,720,120,840,0.0,0.0,44,99.3,85.1
252,553.0,720,120,840,0.0,0.0,36,76.8,65.8
253,602.0,720,120,840,0.0,0.0,39,83.6,71.7
254,576.0,720,120,840,0.0,0.0,35,80.0,68.6
