day,count,pct
168,2,6.666666666666667
228,2,6.666666666666667
139,1,3.3333333333333335
165,1,3.3333333333333335
171,1,3.3333333333333335
176,1,3.3333333333333335
177,1,3.3333333333333335
186,1,3.3333333333333335
192,1,3.3333333333333335
198,1,3.3333333333333335
210,1,3.3333333333333335
215,1,3.3333333333333335
220,1,3.3333333333333335
232,1,3.3333333333333335
233,1,3.3333333333333335
237,1,3.3333333333333335
238,1,3.3333333333333335
239,1,3.3333333333333335
248,1,3.3333333333333335
253,1,3.3333333333333335
258,1,3.3333333333333335
259,1,3.3333333333333335
266,1,3.3333333333333335
269,1,3.3333333333333335
270,1,3.3333333333333335
302,1,3.3333333333333335
311,1,3.3333333333333335
328,1,3.3333333333333335
