kpi,label,n,min,max,mean,std,se,ci95_low,ci95_high
sessions,Sesiones realizadas,19,33.0,802.0,202.21052631578948,304.8583603627116,69.93930446918766,55.2680476260262,349.15300500555276
unique_patients,Pacientes unicos,19,31.0,555.0,145.52631578947367,210.94980140652018,48.39520349952608,43.84799323696937,247.20463834197795
cumplimiento,Cumplimiento horario regular (%),19,86.9077306733167,100.0,97.9685332640022,4.223792286538787,0.9690044071331138,95.93265500461553,100.00441152338888
total_extra,Modulos extra totales,19,0.0,337.0,44.473684210526315,97.14214580308625,22.28593666917614,-2.349068731412757,91.29643715246539
days_extra,Dias con extra,19,0.0,13.0,2.4210526315789473,4.84556830142169,1.1116496078905884,0.08547680540082103,4.756628457757074
max_wait,Espera maxima (mod),19,5.0,40.0,12.210526315789474,13.958585360385126,3.2023191042476333,5.482453877765197,18.93859875381375
avg_wait,Espera promedio (mod),19,3.690909090909091,16.52992518703242,6.572775449449079,5.027458035878184,1.1533779748044466,4.149528324384937,8.996022574513221
util_chairs,Utilizacion sillas total (%),19,2.9621848739495795,70.91836734693877,18.287232567696208,27.01260295660716,6.197116131044138,5.267091576372474,31.307373559019943
util_chairs_reg,Utilizacion sillas regulares (%),19,3.4558823529411766,80.50925925925925,21.040966539226748,30.925907794122562,7.094889832201953,6.134603001770445,35.94733007668305
util_nurses,Ocupacion enfermeria (%),19,1.7331932773109244,34.09863945578231,8.846436860755382,12.829948420146474,2.9433920323293576,2.6623702008314023,15.030503520679362
util_pharm,Ocupacion farmacia (%),19,4.170557111733583,82.11136306374401,21.401714459594583,31.197141884610936,7.157115200122058,6.36461542413814,36.43881349505102
postponed_sessions,Sesiones postponadas,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unattended,Pacientes no atendidos,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
