day,count,pct
202,2,6.666666666666667
218,2,6.666666666666667
144,1,3.3333333333333335
149,1,3.3333333333333335
150,1,3.3333333333333335
157,1,3.3333333333333335
163,1,3.3333333333333335
165,1,3.3333333333333335
166,1,3.3333333333333335
168,1,3.3333333333333335
169,1,3.3333333333333335
170,1,3.3333333333333335
172,1,3.3333333333333335
174,1,3.3333333333333335
187,1,3.3333333333333335
189,1,3.3333333333333335
191,1,3.3333333333333335
192,1,3.3333333333333335
195,1,3.3333333333333335
197,1,3.3333333333333335
204,1,3.3333333333333335
205,1,3.3333333333333335
207,1,3.3333333333333335
214,1,3.3333333333333335
221,1,3.3333333333333335
227,1,3.3333333333333335
229,1,3.3333333333333335
231,1,3.3333333333333335
