day,kpi,label,n,min,max,mean,std,se,ci95_low,ci95_high
235,daily_avg_wait,Espera promedio diaria (mod),4,13.885714285714286,18.666666666666668,16.050915750915753,2.2087809223888115,1.1043904611944058,12.536745303395154,19.56508619843635
235,daily_max_wait,Espera maxima diaria (mod),4,30.0,38.0,33.5,3.415650255319866,1.707825127659933,28.065700443786092,38.93429955621391
235,daily_peak_chairs,Peak sillas,4,15.0,15.0,15.0,0.0,0.0,15.0,15.0
235,daily_peak_nurses,Peak enfermeria,4,4.0,4.0,4.0,0.0,0.0,4.0,4.0
235,daily_peak_pharmacy,Peak farmacia,4,9.0,9.0,9.0,0.0,0.0,9.0,9.0
236,daily_sessions,Sesiones por dia,4,37.0,45.0,40.25,3.593976442141304,1.796988221070652,34.53198348055319,45.96801651944681
236,daily_unique_patients,Pacientes unicos por dia,4,37.0,45.0,40.25,3.593976442141304,1.796988221070652,34.53198348055319,45.96801651944681
236,daily_treatment_modules,Modulos tratamiento por dia,4,603.0,705.0,648.5,48.321837713398274,24.160918856699137,571.6199561979834,725.3800438020166
236,daily_extra_modules,Modulos extra por dia,4,7.0,56.0,26.75,21.51549828999242,10.75774914499621,-7.481157779377938,60.98115777937794
236,daily_avg_wait,Espera promedio diaria (mod),4,16.945945945945947,19.177777777777777,18.13956379357535,1.043037440771082,0.521518720385541,16.480091225308556,19.79903636184214
236,daily_max_wait,Espera maxima diaria (mod),4,34.0,39.0,36.75,2.217355782608345,1.1086778913041726,33.22218694987012,40.27781305012988
236,daily_peak_chairs,Peak sillas,4,15.0,15.0,15.0,0.0,0.0,15.0,15.0
236,daily_peak_nurses,Peak enfermeria,4,4.0,4.0,4.0,0.0,0.0,4.0,4.0
236,daily_peak_pharmacy,Peak farmacia,4,9.0,9.0,9.0,0.0,0.0,9.0,9.0
237,daily_sessions,Sesiones por dia,4,25.0,41.0,34.5,6.95221787153807,3.476108935769035,23.43902136638293,45.56097863361707
237,daily_unique_patients,Pacientes unicos por dia,4,25.0,41.0,34.5,6.95221787153807,3.476108935769035,23.43902136638293,45.56097863361707
237,daily_treatment_modules,Modulos tratamiento por dia,4,387.0,643.0,529.75,108.59519633329398,54.29759816664699,356.9750426337293,702.5249573662707
237,daily_extra_modules,Modulos extra por dia,4,0.0,18.0,4.5,9.0,4.5,-9.818999999999999,18.819
